id_imovel,ano,valor_estimado
1,1992,104167.02969997791
1,1993,107539.28061358829
1,1994,113857.83539873901
1,1995,116988.67646817901
1,1996,119719.45161057652
1,1997,121796.7954583324
1,1998,129305.29830111937
1,1999,132744.92831757801
1,2000,138813.1131821542
1,2001,147780.85265128827
1,2002,156977.24063999995
1,2003,159227.1016913984
1,2004,160369.6456178533
1,2005,172390.66913268
1,2006,181959.09842060457
1,2007,182560.43565887865
1,2008,191691.76264792652
1,2009,199953.9429754017
1,2010,204627.5634437022
1,2011,219009.92209811037
1,2012,224311.02208006076
1,2013,235811.28134806213
1,2014,238886.28378614623
1,2015,250718.2875343111
1,2016,266848.9000742877
1,2017,271530.4903666296
1,2018,294340.11050554493
1,2019,293528.7613740168
1,2020,309112.35117637925
1,2021,326007.99206791754
1,2022,323398.4529612444
1,2023,333963.6313016714
1,2024,359999.9999999998
2,1994,35869.308182346074
2,1995,39449.80827251968
2,1996,39575.61913201216
2,1997,43747.33058047287
2,1998,42794.264671870056
2,1999,45180.16417777264
2,2000,48258.44142120634
2,2001,50640.57930648543
2,2002,52722.31649109926
2,2003,53932.684347548704
2,2004,55888.11858945331
2,2005,57632.063111881456
2,2006,60157.50471854967
2,2007,60925.67590159153
2,2008,63020.557706630076
2,2009,66627.24340619406
2,2010,69061.1442290465
2,2011,71415.61748447656
2,2012,75995.55365771835
2,2013,79439.02710113728
2,2014,81211.03911827078
2,2015,86801.8315567432
2,2016,85680.69407338666
2,2017,90836.9409295234
2,2018,93478.1068660015
2,2019,94949.27591192718
2,2020,102406.88101130574
2,2021,106419.80362059776
2,2022,114304.99203382125
2,2023,116840.33465666483
2,2024,119999.99999999997
3,2008,125513.2179136943
3,2009,138205.13722796962
3,2010,141978.57924260164
3,2011,145815.82609457118
3,2012,149224.2776596073
3,2013,152907.90309597217
3,2014,160928.44262391436
3,2015,172292.53016412212
3,2016,181975.48322076708
3,2017,188009.41875526076
3,2018,187821.03114035906
3,2019,192845.33481766563
3,2020,205731.07058786126
3,2021,205812.87252974423
3,2022,223327.66737064242
3,2023,230087.98806323684
3,2024,239999.99999999994
4,1996,39644.30613560485
4,1997,40290.62174014901
4,1998,43727.308020719815
4,1999,44534.43618519892
4,2000,45719.193687357154
4,2001,45890.314199453
4,2002,50606.78224831403
4,2003,54526.56877885171
4,2004,56586.05839161808
4,2005,56436.39342532129
4,2006,58521.92938262194
4,2007,62182.3642896036
4,2008,62789.67032597696
4,2009,67033.91871561574
4,2010,70358.75139191675
4,2011,73837.36465539958
4,2012,74801.51169199312
4,2013,77632.18558509229
4,2014,79644.1796755781
4,2015,82916.11586467773
4,2016,87285.6584211529
4,2017,91860.13980645305
4,2018,96570.58916904761
4,2019,97046.88188837968
4,2020,105638.7983907241
4,2021,106101.09609472593
4,2022,110899.3329267416
4,2023,113660.28074042806
4,2024,119999.99999999997
5,2010,285727.6842784959
5,2011,317820.2462526522
5,2012,329576.8632325341
5,2013,335881.5362399757
5,2014,351764.03568270634
5,2015,369115.0198285196
5,2016,368084.8422950999
5,2017,390976.0827072409
5,2018,417491.8300809029
5,2019,416680.3769579695
5,2020,447107.89866300835
