id_regiao,ano,distancia_metro_km,escolas_1km,hospitais_3km,comercio_1km,indice_criminalidade
1,2010,1.6985057773816805,9,2,43,0.2710541400455043
1,2011,1.7743853836309256,5,5,60,0.2342277296396194
1,2012,1.9040789554907684,6,4,44,0.25398956535685563
1,2013,2.335860595166679,12,2,40,0.36857038403796194
1,2014,2.0071998054017386,7,1,40,0.2802329574044658
1,2015,0.44561493146540393,9,2,51,0.2791263802121329
1,2016,2.3120046974291957,11,2,36,0.22792606390510128
1,2017,1.9389757606015345,12,3,57,0.28568676545891597
1,2018,1.5837724348804438,9,2,28,0.30190525873529295
1,2019,0.5000007067823465,4,1,29,0.325489208340618
1,2020,2.0425746015985213,10,5,24,0.27695346233490004
1,2021,1.610954542394482,11,5,36,0.39421567552272363
1,2022,2.193715344915896,4,1,54,0.35017555991832194
1,2023,1.9909172118463812,9,1,38,0.286953050133821
1,2024,1.2981921539242542,8,5,31,0.30153633492086507
1,2025,0.5341038101549509,8,5,58,0.2397822203529466
2,2010,1.1226104757005255,6,5,53,0.3836986988791405
2,2011,1.617678085812504,11,1,27,0.38581972325292346
2,2012,2.2331881312110053,8,2,23,0.24817431848944663
2,2013,1.548185276115602,5,1,51,0.36320465068401775
2,2014,2.451565886090135,12,2,28,0.33195016454947346
2,2015,2.38306709535098,6,3,53,0.3744866082170515
2,2016,1.2309034684419513,7,5,32,0.3425897945638244
2,2017,1.1777830599943442,9,4,53,0.29029722827822596
2,2018,0.8453923500652174,5,3,21,0.3176617436914467
2,2019,0.8062524117124694,7,1,24,0.3415681893096908
2,2020,0.42952228712791146,5,1,41,0.2141714699777307
2,2021,0.8236101956117896,11,2,54,0.226462369745005
2,2022,2.358131329277476,11,2,50,0.3614993995533287
2,2023,0.718901811596131,5,4,42,0.2847157246039842
2,2024,1.327454269680685,4,1,23,0.28052425642045375
2,2025,1.046465731868919,5,2,32,0.2380417816881623
3,2010,1.2869498052328903,10,2,37,0.2925256136801935
3,2011,2.223869098955276,5,4,55,0.21958174564032007
3,2012,1.7347187667967487,12,1,25,0.3852733966016255
3,2013,2.1671306157114723,6,4,51,0.2962716835942079
3,2014,2.2022308668664743,4,2,44,0.20043107567028529
3,2015,1.158927866693189,11,3,47,0.33931830072003255
3,2016,1.9071116983140253,12,4,29,0.23797957345352744
3,2017,0.7789419765111849,4,5,54,0.21219151429530317
3,2018,0.9899305814934045,4,5,50,0.3005700765839027
3,2019,2.175983762506228,6,1,52,0.21602229304811738
3,2020,0.708814914157591,5,2,45,0.22397732278942484
3,2021,2.258632091084763,7,5,58,0.20794833245781288
3,2022,0.4803634920887261,12,3,36,0.2408518398847073
3,2023,1.8756219617367127,7,3,45,0.2261756564254913
3,2024,1.720101735442829,11,3,24,0.2018630913768493
3,2025,1.6665503620848043,5,1,54,0.2426308624534081
