id_regiao,ano,custo_m2
1,2001,1215.5469044690974
1,2002,1124.2319688845375
1,2003,1215.9800031602274
1,2004,1519.3187174546558
1,2005,1651.7301538803763
1,2006,1881.1853723510887
1,2007,2190.357804540571
1,2008,2747.611657262511
1,2009,3429.269712819035
1,2010,4332.660615165519
1,2011,5203.865732638725
1,2012,5801.536145988703
1,2013,6341.669408607058
1,2014,6761.404822524249
1,2015,6927.287464881604
1,2016,6584.250448799437
1,2017,6423.06549672764
1,2018,6454.234714312075
1,2019,6753.2503940934885
1,2020,7288.575578289686
1,2021,7824.114883833235
1,2022,7944.323216467566
1,2023,8196.089721901839
1,2024,8689.252375932334
2,2001,1027.9131595369142
2,2002,1188.9092212190988
2,2003,1286.1366139586917
2,2004,1460.848726109545
2,2005,1667.2438948091126
2,2006,1813.4050847989934
2,2007,2134.8499254721037
2,2008,2624.5884587160313
2,2009,3308.2332798736084
2,2010,4196.404358903768
2,2011,5003.207641266162
2,2012,5565.725495543213
2,2013,6098.7306865294195
2,2014,6544.3272060026575
2,2015,6719.700996780821
2,2016,6450.172068545874
2,2017,6281.7128638372715
2,2018,6363.643156294207
2,2019,6600.218636262419
2,2020,7098.303116454178
2,2021,7620.605291230014
2,2022,7738.732813111625
2,2023,7984.534533070454
2,2024,8465.550728004051
3,2001,679.1051945607396
3,2002,844.0613496734682
3,2003,927.8767586202222
3,2004,1094.1124843296127
3,2005,1598.8121035025008
3,2006,4898.416835102051
3,2007,5186.652676124919
3,2008,9547.715499639064
3,2009,10930.500312246068
3,2010,17154.320047635094
3,2011,19184.48601204583
3,2012,20651.807947417314
3,2013,21292.23644494916
3,2014,20919.188726312776
3,2015,20324.038967322635
3,2016,19361.9115785619
3,2017,18331.682485170644
3,2018,23981.28057042496
3,2019,23313.979196135897
3,2020,23900.23708943642
3,2021,25809.54552772544
3,2022,26704.164330436583
3,2023,27531.885353020374
3,2024,29106.512367834213
4,2001,1154.1783613878385
4,2002,1140.5620797193874
4,2003,1197.203036313241
4,2004,1388.9900728411299
4,2005,1450.1893982366648
4,2006,1543.4619486221882
4,2007,1777.4906570534524
4,2008,2243.265651905723
4,2009,2787.4448162699396
4,2010,3484.0172604064173
4,2011,4165.783244039308
4,2012,4695.985142082697
4,2013,5088.177813560669
4,2014,5479.5775118848605
4,2015,5496.488847681797
4,2016,5357.580490333635
4,2017,5232.6400720744205
4,2018,5202.383325553527
4,2019,5332.56520484778
4,2020,5709.325422875445
4,2021,6177.339377628814
4,2022,6385.485883235375
4,2023,6586.198665882696
4,2024,6976.949971398017
5,2001,877.3920665727485
5,2002,796.471059777294
5,2003,820.1282552930743
5,2004,907.54399142763
5,2005,930.2652919393262
5,2006,977.3356779717747
5,2007,1154.6748599021794
5,2008,1379.791830837006
5,2009,1788.8363737453521
